Project,full-name,URL,Description,Stars,Forks,Primary Language,Latest-commit-time,App,Cloud,Edge,Device,Target,Type,Primary Lan P/T Ratio,LOC,Primary Language LOC,CodeComplexity,Primary Lan #Test,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC_w/o,JavaTestLOC_with,PJJTotalCases,PJJTotalCaseLOC,PJJTestFiles
Adafruit_IO_Python,adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,Adafruit IO Python Client Library,201,90,Python,2022-03-10T19:53:02Z,1,0,1,1,App,Library,5.720698254,3330,2695,86,46,401,0,0,4,0,0,46,401,0,0,0,0,0,0,0,0,0,0,0,46,401,4
amazon-dash,Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,Hack your Amazon Dash to run what you want.,755,67,Python,2022-05-18T22:18:43Z,0,0,1,0,Device,App,3.559322034,4949,2959,150,118,649,0,0,8,3,0.375,118,649,0,0,0,0,0,0,0,0,0,0,0,118,649,8
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes",50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,Cloud,Server,20.21853282,60392,54956,4328,175,2590,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,3409,175,2590,51
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)",3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,Device,Framework,3.186256781,6075,4630,298,226,1106,1,0,0,0,0,0,0,16,1,0.0625,226,1106,0,0,0,0,0,0,226,1106,16
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,DeviceHive Java Server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,App,Server,24.43495146,32153,26198,1826,51,1030,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,51,1030,1681,51,1030,6
ditto,eclipse/ditto,https://github.com/eclipse/ditto,Eclipse Ditto邃?: Digital Twin framework of Eclipse IoT. Some may alternatively name it digital shadow instead.,375,135,Java,2022-06-22T11:00:49Z,0,0,0,0,Cloud,Framework,3.437639185,488497,372633,14317,8432,83971,0,0,0,0,0,0,0,0,0,0,0,0,1213,172,0.141797197,8432,83971,125617,8432,83971,1213
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,"Entity and lighting controller for managing devices via timers, scripts, and sun-based time restrictions.",186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,Device,Device,8.309734513,13851,4208,399,24,452,0,0,6,4,0.6666666667,24,452,0,0,0,0,0,0,0,0,0,0,0,24,452,6
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,Open IoT Framework,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,App,Framework,42.32148377,92362,56058,5569,124,1294,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,2443,124,1294,37
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,"A privacy-first, open-source home assistant",2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,App,App,2.21299403,167100,73735,2213,1422,22949,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,0,1423,22957,352
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,Now a package in Grow-IoT,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,Device,Package,10.96396396,8109,2656,180,33,222,0,0,0,0,0,0,0,3,0,0,33,222,0,0,0,0,0,0,33,222,3
